Materia,Materia matriz,📘 Institutos,Instituto,📘 Materias,Objetivo de la materia,Contenidos mínimos,Bibliografía obligatoria,Bibliografía complementaria,Carga horaria (from 📘 Materias),Programa,Carreras,Currícula,Tipología,📖 Producción,Estado de producción,Avance de producción,Código Materia,ID Materia,Copia de 📖 Producción,Bimestre,Año (from Currícula),👨‍🎓 Búsquedas
ENFOQUE DE DERECHOS APLICADO AL SERVICIO SOCIAL,ENFOQUE DE DERECHOS APLICADO AL SERVICIO SOCIAL,IPP,IPP,,,,,,,,,"0610P65 - 3er Año - 2B,0610P65 - 1er Año - 2B","Específica,Específica",,,,0610P65,6581,,"2B,2B","3er Año,1er Año",
ENTIDADES REGULADORAS Y FISCALIZACIÓN FINANCIERA,ENTIDADES REGULADORAS Y FISCALIZACIÓN FINANCIERA,IPP,IPP,,,,,,,,"ANALISTA DE SISTEMAS,AGILE COACHING","NGEQ039 - 1er Año - 1B,NGEQ039 - 3er Año - 1B",Fundamento,,,,NGEQ039,6273,,"1B,1B","1er Año,3er Año",
ENTORNO MACROECONÓMICO,ENTORNO MACROECONÓMICO,IPP,IPP,Entorno Macroeconómico,,,,,,,"CONTADOR AUDITOR,GESTIÓN HOTELERA,CLOUD ADMINISTRATION,ANALISTA DE SISTEMAS,ANALISTA DE SISTEMAS,CLOUD ADMINISTRATION,AGILE COACHING","NGEQ040 - 3er Año - 1B,NGEQ040 - 3er Año - 1B,NGEQ040 - 1er Año - 2B,NGEQ040 - 1er Año - 2B,NGEQ040 - 1er Año - 2B,NGEQ040 - 3er Año - 2B,NGEQ040 - 3er Año - 2B","Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento",,,,NGEQ040,6291,,"1B,1B,2B,2B,2B,2B,2B","3er Año,3er Año,1er Año,1er Año,1er Año,3er Año,3er Año",
ENTORNO MICROECONÓMICO,ENTORNO MICROECONÓMICO,IPP,IPP,Entorno Microeconómico,"Evaluar el cómo las sociedades diseñan un sistema económico para resolver un problema económico, según métodos utilizados por la ciencia económica y en atención a la naturaleza del problema.
Construir entornos económicos que unifican los diversos estadios que constituyen la realidad de una sociedad, a partir de modelos, teorías y experiencias históricas o casos.
Analizar la estructura y dinámica del mercado para la asignación de precios y las decisiones de los consumidores, mediante la aplicación de conceptos fundamentales de las teorías de demanda y la oferta.
Proyectar la situación económica global desde la perspectiva del intercambio comercial de bienes y servicios que afecta el desempeño de una empresa.
","Conceptos fundamentales de economía. Naturaleza de la economía. Asignación de los recursos. El problema económico. Los sistemas económicos. Instrumentos básicos: análisis económico. La frontera de posibilidades de producción. Costo de oportunidad. Proceso de la producción y de los costos. Producción, tecnología, especialización y división del trabajo. La empresa como instrumento de coordinación. El ciclo de actividad de la empresa. La función de producción. La ley de los rendimientos decrecientes. Teoría de la elección del consumidor. El mercado como mecanismo de asignación de recursos. La demanda y la oferta. Elasticidades. Equilibrio del mercado. Equilibrios y desequilibrios del mercado. Los impuestos y subsidios. Imperfecciones o fallos del mercado. Competencia monopolística. Oligopolio. Monopolio. Externalidades. Bienes Públicos y mercados con información asimétrica. Procesos de globalización mundial del comercio y la economía. Tendencias, oportunidades y desafíos para economías emergentes. Fundamentos de la globalización y la mundialización. Intercambio y especialización del trabajo. Intercambio comercial y ventajas del intercambio. Actualidad económica mundial. Coyuntura económica internacional. Revisión: Economías desarrolladas y menos desarrolladas. ",,,,,"CONTADOR GENERAL,GESTIÓN HOTELERA,TÉCNICO EN CONTROL DE GESTIÓN,CONTADOR AUDITOR,GESTIÓN HOTELERA,CONTADOR AUDITOR (PLAN ESPECIAL),GESTIÓN HOTELERA,CLOUD ADMINISTRATION,AGILE COACHING","NGEQ041 - 2do Año - 1B,NGEQ041 - 2do Año - 1B,NGEQ041 - 2do Año - 1B,NGEQ041 - 2do Año - 1B,NGEQ041 - 1er Año - 1B,NGEQ041 - 2do Año - 1B,NGEQ041 - 2do Año - 1B","Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento",,,,NGEQ041,6260,,"1B,1B,1B,1B,1B,1B,1B","2do Año,2do Año,2do Año,2do Año,1er Año,2do Año,2do Año",
ENTREVISTA Y PRESELECCIÓN,ENTREVISTA Y PRESELECCIÓN,IPP,IPP,Entrevista y Preselección,"- Reconocer las características más importantes de las entrevistas como un factor clave de éxito en el proceso de selección de personal.
- Diseñar y planificar las entrevistas, pudiendo determinar la metodología de selección más adecuada en función del tipo de perfil.
- Aplicar diferentes técnicas para realizar entrevistas, que permitan identificar competencias en los candidatos en función del puesto requerido.
- Evaluar las competencias con base en la información obtenida en la entrevista y así proponer, mediante la presentación de informes, candidatos potenciales para el puesto requerido.
","Concepto de entrevista. Clasificación de entrevistas y formulación de preguntas. Factores clave para el éxito de la entrevista en la selección de personal. Posibles errores que se deben evitar en el proceso de la entrevista.  Planeamiento y estructura de la entrevista. Etapas de la entrevista de selección. Aspectos a indagar en la entrevista. Importancia del registro de la entrevista. Entrevistas individuales y grupales. Entrevistas con el cliente interno. Técnicas grupales de selección: assessment center, role playing, ejercicios in-basket, estudios de caso. Entrevista de selección por competencias. Perfil de la búsqueda. Perfil del postulante. Correlación entre ambos. Fallos en la lectura y análisis de los currículums.  Preselección de candidatos e invitación a entrevista. Preparación de convocatoria. Formularios prediseñados. Estrategias comunicativas. Análisis y observación durante la entrevista individual y grupal. Entendimiento del CV vs. discurso del candidato. Aspectos a tener en cuenta según el perfil del candidato y seniority de la posición. Identificación de los candidatos más valorados y aplicantes idóneos para el puesto requerido. Manejo de entrevistas con candidatos difíciles. Guía de preguntas según el perfil del candidato y seniority de la posición. Análisis de entrevistas.  Evaluaciones de candidatos: pruebas psicológicas, de conocimiento o de capacidad. Comparación de candidatos: análisis FODA entre las candidaturas y selección de idóneos. Modelos de evaluación de entrevista. Armado y presentación de ternas.  Elaboración de reportes e informes. Feedback a involucrados del proceso (tanto a clientes internos como candidatos)Modelos de informes de entrevista. ",,,,,"RECLUTAMIENTO Y ATRACCIÓN DE TALENTO,TÉCNICO EN RECLUTAMIENTO Y ATRACCIÓN DE TALENTO,GESTIÓN DEL TALENTO HUMANO",0391P21 - 1er Año - 2A,Específica,,,,0391P21,7136,,2A,1er Año,
EPISTEMOLOGÍA Y TRABAJO SOCIAL,EPISTEMOLOGÍA Y TRABAJO SOCIAL,IPP,IPP,,,,,,,,,"0610P51 - 3er Año - 1A,0610P51 - 1er Año - 1A","Fundamento,Fundamento",,,,0610P51,6572,,"1A,1A","3er Año,1er Año",
ESCULTURA DIGITAL,ESCULTURA DIGITAL,IPP,IPP,Escultura Digital,El Resultado General de Aprendizaje es que el estudiante domine el uso del software zbrush y pueda utilizar puentes con motores de render top en la industria como keyshot. ,Interfaz de usuario. The Edit Button. Color Control. The Shelf. Lightbox. Controles de pincel. Brush Controls. Navigation. Sub-Palettes. Sculpting. Vert Point Count. Búsqueda y análisis de pilares de referencia para escultura. Escultura básica de sketch en Dynamesh con Zbrush. Escultura y Simetría. Importación de geometrías 3d. Uso de IMM Brushes. Dynamesh y ZRemes. Subdivisions levels. Hard Surface. 3d Alphas. Stroke menú lazy mouse. SubTool layers. boolean subtraction. Aphas y detalle. Generación de mapas UV. Polypainting. Fibermesh. Transpose Master. Render Keyshot. ,"Menegotto, José Luis  (2024). El modelo digital. Técnica y arte algorítmica en BIM. Editorial Nobuko. 	", http://pixologic.com/zclassroom/level/20 ,,,"TÉCNICO EN ANIMACIÓN DIGITAL,TÉCNICO EN ANIMACIÓN DIGITAL,GESTIÓN HOTELERA",0271P23A - 1er Año - 2B,Específica,,,,0271P23A,6233,,2B,1er Año,
ESTADÍSTICA APLICADA,ESTADÍSTICA APLICADA,IPP,IPP,Estadística Aplicada,,,,,,,"CONTADOR AUDITOR,GESTIÓN HOTELERA,CONTADOR AUDITOR (PLAN ESPECIAL),GESTIÓN HOTELERA,CLOUD ADMINISTRATION,ANALISTA DE SISTEMAS,ANALISTA DE SISTEMAS,CLOUD ADMINISTRATION,AGILE COACHING","NGEQ043 - 3er Año - 1B,NGEQ043 - 3er Año - 1B,NGEQ043 - 1er Año - 1B,NGEQ043 - 1er Año - 1B,NGEQ043 - 1er Año - 1B,NGEQ043 - 1er Año - 1B,NGEQ043 - 3er Año - 1B,NGEQ043 - 3er Año - 1B","Específica,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento,Fundamento",,,,NGEQ043,6275,,"1B,1B,1B,1B,1B,1B,1B,1B","3er Año,3er Año,1er Año,1er Año,1er Año,1er Año,3er Año,3er Año",
ESTADÍSTICA DESCRIPTIVA,ESTADÍSTICA DESCRIPTIVA,IPP,IPP,,,,,,,,,"TCEQ016 - 2do Año - 2A,TCEQ016 - 2do Año - 2A","Específica,Fundamento",,,,TCEQ016,6499,,"2A,2A","2do Año,2do Año",
ESTADÍSTICA INFERENCIAL,ESTADÍSTICA INFERENCIAL,IPP,IPP,,,,,,,,,"TCEQ017 - 3er Año - 1B,TCEQ017 - 3er Año - 1B","Fundamento,Fundamento",,,,TCEQ017,6504,,"1B,1B","3er Año,3er Año",
ESTADÍSTICA PARA LAS CIENCIAS SOCIALES,ESTADÍSTICA PARA LAS CIENCIAS SOCIALES,IPP,IPP,,,,,,,,,"0610P64 - 3er Año - 2B,0610P64 - 1er Año - 2B","Fundamento,Fundamento",ESTADÍSTICA PARA LAS CIENCIAS SOCIALES - 2A-2025,Finalizado,100%,0610P64,6580,,"2B,2B","3er Año,1er Año",
ESTRATEGIA CREATIVA,ESTRATEGIA CREATIVA,IPP,IPP,Estrategia creativa,"Comprender y aplicar los principios esenciales de la estrategia creativa, desde la composición de una estrategia hasta el papel del planner/strategist, integrando conceptos de big ideas según Ogilvy y desarrollando habilidades para la elaboración de un comms planning.      
Analizar y aplicar el conocimiento profundo de una marca, comprendiendo su identidad, personalidad, posicionamiento, propuesta de valor y su relación con la comunicación. Asimismo, serán competentes en la utilización de herramientas como el análisis FODA y el social listening para informar estrategias y definir el propósito de la marca.                
Construir estrategias creativas sólidas y efectivas, integrando conceptos como la creación de conceptos, la identificación de caminos y territorios creativos, la obtención de insights y la gestión de tensiones y oportunidades. Además, desarrollarán habilidades para alinear la estrategia con la audiencia, brindar retroalimentación constructiva a los creativos y comunicar ideas de manera efectiva.    
Diseñar y ejecutar estrategias de contenido y comunicación eficaces, incorporando principios de estrategias transmedia, pensamiento de diseño (design thinking), storytelling y la implementación de prácticas inclusivas. Además, serán competentes en la presentación de ideas y casos de manera efectiva, utilizando técnicas para estructurar y comunicar información de manera clara y persuasiva.        ",,,,,,"SOCIAL MEDIA,TÉCNICO EN SOCIAL MEDIA,SOCIAL MEDIA",0461P42 - 2do Año - 2A,Específica,,,,0461P42,7131,,2A,2do Año,
Estrategia de Crecimiento,Estrategia de Crecimiento,IPP,IPP,,,,,,,,,,,,,,,,,,,
ESTRATEGIA E INVESTIGACIÓN,ESTRATEGIA E INVESTIGACIÓN,IPP,IPP,Estrategia e Investigación,"- Analiza los principios de una Estrategia UX, distinguiendo los elementos de relevancia según el contexto investigativo.
- Interpreta las diversas herramientas de investigación a utilizar para el levantamiento de información a lo largo de la investigación.
- Formula objetivos e hipótesis de investigación, seleccionando las herramientas pertinentes según el problema a investigar.
- Sintetizar los hallazgos e insights para el desarrollo del brief del producto e informe en la investigación.
",,,,,,"USER EXPERIENCE (UX),TÉCNICO EN USER EXPERIENCE (UX)",0393P13 - 1er Año - 1B,Específica,,,,0393P13,7160,,1B,1er Año,
ESTRATEGIA Y PLANIFICACIÓN COMERCIAL,ESTRATEGIA Y PLANIFICACIÓN COMERCIAL,IPP,IPP,Estrategia y Planificación Comercial,"El Resultado General de Aprendizaje de esta asignatura permitirá que el estudiante planifique una estrategia comercial digital de manera integral, relacionada con el marketing de contenidos, el uso de múltiples canales y medios digitales, integrando la automatización de marketing con herramientas que analizan el comportamiento de clientes potenciales, utilizando, además el cálculo del retorno de la inversión de la estrategia de marketing. ","Planificación de una estrategia comercial y desarrollo de una presencial online. Concepto fundamental: Metodología DMI 3i. Componentes clave de una estrategia digital eficaz (atracción de clientes, visibilidad de marca, segmentación, marketing de contenidos y big data) Los procedimientos del desarrollo de estrategias comerciales. Análisis de la competencia. Seteo de objetivos. Herramientas de CRM para una mejor optimización de ventas, desarrollo de oportunidades de venta. Automatización de marketing. Automatización para generar, gestionar y nutrir clientes potenciales. Comunicaciones automatizadas. Chatbot o Bots conversacionales en el mundo de ventas. Funciones. Datos de automatización para analizar e informar sobre clientes potenciales. Estrategias de entrada y salida en medios digitales. Planificación de medios interrelacionados. Uso de múltiples canales digitales. Etapas en la Gestión de Medios Digitales. Inbound y outbound marketing. Marketing de contenidos. KPI de gestión, ROI máximo. Su relación con el presupuesto. ROI de una estrategia de social media. Elementos a considerar al planificar un presupuesto de marketing. Monitoreo y optimización del presupueste durante la ejecución de la campaña. Plan de Medición Social Media. ",,,,,,0343P43 - 2do Año - 2B,Específica,,,,0343P43,7058,,2B,2do Año,
ESTRATEGIA Y PLANIFICACIÓN DE INBOUND MARKETING,ESTRATEGIA Y PLANIFICACIÓN DE INBOUND MARKETING,IPP,IPP,,,,,,,,,,,ESTRATEGIA Y PLANIFICACIÓN DE INBOUND MARKETING - 2B-2026,,NaN,0342P43,7039,,,,
ESTRATEGIA Y REDACCIÓN PUBLICITARIA,ESTRATEGIA Y REDACCIÓN PUBLICITARIA,IPP,IPP,Estrategia y Redacción Publicitaria,"- Explicar los conceptos básicos relacionados con el perfil de un redactor creativo dentro del mundo de la publicidad, señalando sus principales características, funciones, cualidades y desafíos dentro de la industria.
- Relacionar elementos del lenguaje como herramientas de redacción creativa, diferenciando las diferentes características de la redacción publicitaria, las estrategias de argumentación, los estilos de redacción y el slogan, en el ámbito de la publicidad.
- Desarrollar redacción creativa publicitaria utilizando diferentes elementos de la retórica aplicada a diferentes formatos publicitarios tradicionales y digitales en un contexto de Redacción Publicitaria Aplicada.
- Identificar lineamientos transversales en la redacción creativa en medios tradicionales y digitales, revisando piezas de redacción asociados a los principales formatos digitales pensados en el segmento objetivo al que apuntan, en el ámbito de la Redacción Creativa Digital.",El redactor creativo en el mundo de la publicidad. Principio de coherencia en la campaña y la estrategia creativa. El redactor publicitario: Escribir para vender. Redacción publicitaria y la retórica. Fundamentos y características de la redacción publicitaria. Estilos de redacción y estrategias de argumentación. Slogan: formas y funciones. Reason Why y la propuesta única de valor. Redacción publicitaria en medios tradicionales digitales. Criterios de evaluación de un texto publicitario. Web 2.0 y nuevos usuarios digitales. La construcción de contenido: el nuevo formato publicitario para las marcas. Storytelling.,,,,,TÉCNICO EN PUBLICIDAD,"NGEQ044 - 1er Año - 2B,NGEQ044 - 1er Año - 2B","Específica,Específica",,,,NGEQ044,6197,,"2B,2B","1er Año,1er Año",
ESTRATEGIAS DE FACILITACIÓN,ESTRATEGIAS DE FACILITACIÓN,IPP,IPP,Estrategias de facilitación,"- Integrar conceptos y recursos requeridos para la facilitación, señalando su importancia para el proceso en un contexto organizacional.   
- Comprender las habilidades de un facilitador aplicando un marco ético en un contexto organizacional.
- Aplicar los modelos y herramientas de facilitación, seleccionándolas adecuadamente según el tipo de equipo y función a ejercer en un contexto que propicie sus resultados.               
- Diseñar sesiones de facilitación usando las herramientas adecuadas en un contexto de agilidad.  ","Proceso de comunicación, importancia de la comunicación, tipos de comunicación y la escucha activa. Características y funciones del facilitador, significado de facilitar, momentos clave de la facilitación y recomendaciones para facilitar con éxito. Habilidades del facilitador, rol regulador, código de ética y cofacilitación. Modelos de liderazgo aplicados a la facilitación, matriz de liderazgo y aprendizaje, asertividad, obstáculos en la comunicación y resolución de conflictos desde la comunicación asertiva y el lenguaje corporal. Tipos de equipos, roles y dinámicas, métodos y técnicas de facilitación, herramientas como estructuras liberadoras y storytelling. Motivación y sus tipos, procesos de feedback y feedforward, tipos de conflictos y estrategias para abordarlos. Facilitación en equipos ágiles, marco scrum, tipos de reuniones y rol del facilitador ágil. Facilitación de eventos scrum, reuniones con grandes volúmenes de personas, facilitación remota ágil y herramientas clave para cualquier proceso de facilitación.",,,,,"AGILE COACHING,TÉCNICO EN AGILE COACHING",0392P13 - 1er Año - 1B,Específica,,,,0392P13,7143,,1B,1er Año,
ESTRATEGIAS DE INTERVENCIÓN DE LOS PROCESOS COGNITIVOS,ESTRATEGIAS DE INTERVENCIÓN DE LOS PROCESOS COGNITIVOS,IPP,IPP,Estrategias de Intervención de los Procesos Cognitivos,,,,,,,,EIPC01 - 3er Año - 2A,Específica,,,,EIPC01,7200,,2A,3er Año,
ESTRATEGIAS DE INTERVENCIÓN EN AUTISMO Y DISCAPACIDAD MÚLTIPLE,ESTRATEGIAS DE INTERVENCIÓN EN AUTISMO Y DISCAPACIDAD MÚLTIPLE,IPP,IPP,Estrategias de Intervención en Autismo y Discapacidad Múltiple,"El Resultado General de Aprendizaje, pretende que la o el estudiante seleccione y emplee estrategias diversificadas de aprendizaje, comunicación y participación, mediante casos ficticios, que den respuesta a las NEE de personas con diagnóstico de Trastorno del Espectro Autista y Discapacidades múltiples, para minimizar las barreras de aprendizaje y participación, en el proceso formativo integral, en contextos de educación regular y diferencial. ","Introducción al paradigma de los trastornos del neurodesarrollo. Comparación del modelo médico y el Modelo Ecológico. Modelo Biopsicosocial. Decreto 83 Criterios de adecuaciones curriculares para estudiantes con NEE. Descripción de los Diagnósticos. Discapacidad Múltiple / Sordoceguera. Necesidades educativas especiales múltiples. Trastornos del espectro Autista. Discapacidad Motora: Parálisis cerebral. Rol de técnico de Educación diferencial en la entrega de apoyos a estudiantes con Necesidades Educativas múltiples. Introducción hacia las prácticas pedagógicas propias de la atención de necesidades educativas especiales de los estudiantes con diagnóstico de TEA y NEEM en escuelas de educación regular y especial. Dimensiones del Diseño Universal de Aprendizaje. Diferencias entre un aula tradicional y un aula diversificada (tareas, evaluaciones, etc) Concepto y características de modelos teórico-de educación de personas con Necesidades educativas especiales:  Teoría Ecológica de Bronfenbrenner, Modelo Ecológico funcional, Modelo Multidimensional. Planificación centrada en la persona. Proyecto oso, estrella y futuro. Programa TVAA. Adecuaciones curriculares, Decreto N°83/2015. Rol de técnico de educación diferencial en prácticas pedológicas en educación regular y diferencial. Introducción a los métodos de comunicación alternativos aumentativos más utilizados en la educación de personas con necesidades educativas especiales. Relación entre las ventajas y desventajas de los distintos métodos de comunicación aumentativa alternativa para personas con necesidades educativas especiales. Ejemplos de metodología empleada en contextos escolares de educación regular y diferencial. Rol del Técnico de educación diferencial en la confección, diseño y aplicación de sistemas alternativos aumentativos de comunicación. Introducción a las técnicas de estimulación de diferentes áreas del desarrollo general de las personas con diagnóstico de TEA y NEEM en escuelas de educación regular y especial. Agregar métodos específicos para estudiantes TEA, (ABA, TEACH) según nivel 1, 2 ,3. Metodología de Van Dijk. Concepto de estimulación y desarrollo del lenguaje. Concepto de estimulación y desarrollo motriz. Concepto de estimulación y desarrollo Social. Concepto de estimulación y desarrollo cognitivo. Concepto y características de rutinas de trabajo en Habitación, alimentación, vestuario y autonomía. Rol del técnico de educación diferencial en el diseño e implementación de rutinas de trabajo para la estimulación y fortalecimiento de distintas áreas del desarrollo humano.   
	",Módulo de estudio elaborado por el experto del espacio curricular a ser producido por IPP. ,"Catálogo Tecnologías para la Educación Inclusiva. https://www.senadis.gob.cl/areas/tecnologias/documentos 
 
http://bibliorepo.umce.cl/libros_electronicos/diferencial/sordoceguera_y_retos_multiples_en_chile_oriana_donoso_araya.pdf Capítulo 4 pág. 60-81 
 
G. Taylor, P. (2016). Trastornos del espectro autista: guía básica para educadores y padres. Narcea Ediciones. https://elibro.net/es/lc/ipp/titulos/46232  Capítulo 9 y 10  
 
Arriaza Mayas, J. C. (2012). La estimulación del lenguaje oral. Editorial CEPE. Página 11 - 14. https://elibro.net/es/lc/ipp/titulos/157280 
 
 Ovejero Hernández, M. (2013). Desarrollo cognitivo y motor. Macmillan Iberia, S.A. Unidad 5 y 7  https://elibro.net/es/lc/ipp/titulos/43265 
",,,"TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN DIFERENCIAL",0121P42A - 2do Año - 2A,Específica,ESTRATEGIAS DE INTERVENCIÓN EN AUTISMO Y DISCAPACIDAD MÚLTIPLE - 2A-2025,En proceso,NaN,0121P42A,6128,,2A,2do Año,
ESTRATEGIAS DE INTERVENCIÓN EN DISCAPACIDAD INTELECTUAL,ESTRATEGIAS DE INTERVENCIÓN EN DISCAPACIDAD INTELECTUAL,IPP,IPP,,,,,,,,,,,,,,0121P36A,6126,,,,
ESTRATEGIAS DE INTERVENCIÓN EN PROCESOS AFECTIVOS SOCIALES,ESTRATEGIAS DE INTERVENCIÓN EN PROCESOS AFECTIVOS SOCIALES,IPP,IPP,Estrategias de Intervención en Procesos Afectivos Sociales,,,,,,,"TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN DIFERENCIAL","EIPAS01 - 4to Año - 1B,EIPAS01 - 2do Año - 1B","Específica,Específica",,,,EIPAS01,7206,,"1B,1B","4to Año,2do Año",
ESTRATEGIAS DE INTERVENCIÓN SOCIAL,ESTRATEGIAS DE INTERVENCIÓN SOCIAL,IPP,IPP,,,,,,,,,,,,,,0640P33,6609,,,,
ESTRATEGIAS DE MARKETING DIGITAL,ESTRATEGIAS DE MARKETING DIGITAL,IPP,IPP,Estrategias de marketing digital,"El Resultado General de Aprendizaje de esta asignatura será que el estudiante analice y aplique las mejores estrategias de marketing digital, mediante la obtención de los conocimientos teóricos y prácticos más actualizados del mercado, para lograr el posicionamiento orgánico e inorgánico de una marca. ",SEM (Marketing en buscadores) Selección de palabras claves en SEM. Tipos de campañas publicitarias (técnicas para destacar anuncios) Segmentación de público. Subasta y administración de Budget. Optimización de campañas: relevancia y aprovechamiento de palabras claves. Creación y ejecución a través de productos integrados: Display & Video 360 y Google Web Designer. Aumento de la eficiencia de las campañas y conversiones (ofertas automáticas y planificador de rendimiento) Promoción de negocios locales (importancia de los directorios locales) Promoción de contenidos y evaluación de resultados (medición del SEM) ¿Qué es el Search Engine Oprimization (SEO)? (Búsqueda orgánica) Diferencia entre posicionamiento orgánico e inorgánico (SEM) Optimización de páginas web para posicionar en buscadores (Optimización para buscadores) Diseño de estrategia de SEO. Proceso de SEO: seteo de objetivos y selección de palabras claves. SEO internacional. SEO para organizaciones locales. Selección de palabras claves para SEO. Estadísticas web. ,,,,,"SOCIAL MEDIA,TÉCNICO EN SOCIAL MEDIA,SOCIAL MEDIA","NGEQ110 - 1er Año - 1B,NGEQ110 - 2do Año - 1B,NGEQ110 - 1er Año - 1B","Específica,Específica,Específica","ESTRATEGIAS DE MARKETING DIGITAL - 1B-2025,ESTRATEGIAS DE MARKETING DIGITAL - 1B-2026,ESTRATEGIAS DE MARKETING DIGITAL - 2B-2025","Finalizado,En proceso,Finalizado","0%, NaN, 100%",NGEQ110,7082,,"1B,1B,1B","1er Año,2do Año,1er Año",
ESTRATEGIAS DE PRESENTACIÓN DE PRODUCTO,ESTRATEGIAS DE PRESENTACIÓN DE PRODUCTO,IPP,IPP,Estrategias de presentación de producto,,,,,,,"USER EXPERIENCE (UX),TÉCNICO EN USER EXPERIENCE (UX)",0393P42 - 2do Año - 2A,Específica,,,,0393P42,7153,,2A,2do Año,
ESTRATEGIAS DE TRANSFORMACIÓN DIGITAL,ESTRATEGIAS DE TRANSFORMACIÓN DIGITAL,IPP,IPP,Estrategias de Transformación Digital,,,,,,,,0345P43 - 2do Año - 2B,Específica,,,,0345P43,7077,,2B,2do Año,
ESTRATEGIAS PARA EL ADULTO Y ADULTO MAYOR,ESTRATEGIAS PARA EL ADULTO Y ADULTO MAYOR,IPP,IPP,Estrategias para el Adulto y Adulto Mayor,,,,,,,,EAYAM01 - 4to Año - 1A,Específica,,,,EAYAM01,7203,,1A,4to Año,
ESTRATEGIAS PARA EL APRENDIZAJE DE LA MATEMÁTICA,ESTRATEGIAS PARA EL APRENDIZAJE DE LA MATEMÁTICA,IPP,IPP,Estrategias para el Aprendizaje de la Matemática,"El Resultado General de Aprendizaje será que el estudiante comprenda los conceptos y estrategias de las nociones previas al cálculo y establecer estrategias de enseñanza, de modo de generar material didáctico apropiado que facilite el aprendizaje de este ámbito correspondientes a la Educación Parvularia y primer ciclo básico.    ","Conceptos básicos, previos al aprendizaje del número. Orientación temporal (definición y muestra de material concreto) Concepto de ubicación (definición y muestra de material concreto) Cuantificadores (definición y muestra de material concreto) Patrones (definición y muestra de material concreto) Clasificación (definición y muestra de material concreto) Representación de objetos y empleo de números (definición y muestra de material concreto) Resolución de problemas simples y explicación de ellos (definición y muestra de material concreto) Figuras 2D y 3D (definición y muestra de material concreto) Medición (definición y muestra de material concreto) Método COPISI (definición y ejemplo) Bases Curriculares de Educación Parvularia 2019, ámbito interacción y comprensión del entorno, núcleo “pensamiento matemático”. Presentación de la estructura curricular de matemática según las bases Curriculares de EGB. Habilidades de matemática. Resolución de problemas. Argumentar y comunicar. Modelar. Representar. Ejes temáticos en matemática. Números y operaciones. Patrones y álgebra. Geometría. Medición. Datos y probabilidades. Actitudes. Adición. Definición y técnicas en números naturales. Acciones de agregar y juntar. Técnica de sobreconteo, descomposición, trasvasije y algoritmo convencional. Sustracción. Definición y técnicas en números naturales. Acciones de agregar y juntar. Técnica de desconteo, completación, descomposición y algoritmo convencional. Multiplicación en Naturales. Definición y técnicas en números naturales. Técnica de veces, suma iterada, celosía, descomposición y algoritmo convencional. División y técnicas en números naturales. Definición y técnicas en números naturales. Técnica de resta iterada y algoritmo convencional. Material concreto para el desarrollo de las operaciones matemáticas (Rol del TNS)
","Martín Nieto, R., Garrido Abia, R., & García Lázaro, D. (2021). Competencias docentes funcionales: destreza comunicativa y capacidad para la didáctica de las matemáticas. Dykinson. 

Capote Castillo, M. (2022). Didáctica de la Matemática: para la educación primaria con un enfoque desarrollador. Ciudad Educativa. 
","González, A. (2016). La enseñanza de la matemática en el jardín de infantes a través de  secuencias 	didácticas. 	Homo 	Sapiens 	Ediciones 	(pp.38-52) https://elibro.net/es/ereader/ipp/67064?page=38   

Castro Puche, R. (2011). Didáctica de las matemáticas: de preescolar a secundaria. Ecoe Ediciones (pp.101- 114). https://elibro.net/es/ereader/ipp/69177?page=101   ",,,"TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN DIFERENCIAL,TÉCNICO EN EDUCACIÓN PARVULARIA Y PRIMER CICLO BÁSICO","CSEQ006 - 2do Año - 1A,CSEQ006 - 2do Año - 1A","Específica,Específica",,,,CSEQ006,6122,,"1A,1A","2do Año,2do Año",
"ESTRATEGIAS PARA EL APRENDIZAJE DE LA PRELECTURA, LECTURA Y ESCRITURA","ESTRATEGIAS PARA EL APRENDIZAJE DE LA PRELECTURA,LECTURA Y ESCRITURA",IPP,IPP,,,,,,,,TÉCNICO EN EDUCACIÓN PARVULARIA Y PRIMER CICLO BÁSICO,0131P33A - 2do Año - 1A,Específica,,,,0131P33A,6140,,1A,2do Año,
ESTRATEGIAS PARA EL APRENDIZAJE DE LAS CIENCIAS,ESTRATEGIAS PARA EL APRENDIZAJE DE LAS CIENCIAS,IPP,IPP,Estrategias para el aprendizaje de las ciencias,,,,,,,TÉCNICO EN EDUCACIÓN PARVULARIA Y PRIMER CICLO BÁSICO,0131P42A - 2do Año - 2A,Específica,,,,0131P42A,6142,,2A,2do Año,
