Materia,Materia matriz,📘 Institutos,Instituto,📘 Materias,Objetivo de la materia,Contenidos mínimos,Bibliografía obligatoria,Bibliografía complementaria,Carga horaria (from 📘 Materias),Programa,Carreras,Currícula,Tipología,📖 Producción,Estado de producción,Avance de producción,Código Materia,ID Materia,Copia de 📖 Producción,Bimestre,Año (from Currícula),👨‍🎓 Búsquedas
ADMINISTRACIÓN DE PUBLICIDAD DIGITAL,ADMINISTRACIÓN DE PUBLICIDAD DIGITAL,IPP,IPP,Administración de Publicidad Digital,"El Resultado General de Aprendizaje será que el estudiante analice las acciones publicitarias digitales desarrolladas por la marca, empresa o persona a través de plataformas de gestión publicitaria para apoyar la toma de decisiones estratégicas en una acción comunicacional.","Ecosistema META y su impacto publicitario. Publicidad Digital en META. Plataformas clave: Facebook, Instagram, WhatsApp y Messenger. Componentes estratégicos de las plataformas META. Fundamentos y expansión de TikTok. TikTok para marcas y negocios. Visibilidad orgánica y construcción de comunidad. Formatos publicitarios en TikTok. Fundamentos de Google Analytics (GA4 y GA360) Implementaciones específicas de GA360. Configuración de campañas y objetivos. Integradores de Google Marketing Platform. Historia, evolución y posicionamiento de LinkedIn. LinkedIn como red social profesional. Páginas de empresas y tipos de contenido. Estrategias de marketing LinkedIn.",,,,,,0343P21 - 1er Año - 2A,Específica,ADMINISTRACIÓN DE PUBLICIDAD DIGITAL - 2A-2025,Finalizado,0%,0343P21,7048,,2A,1er Año,
ADMINISTRACIÓN DE SISTEMA OPERATIVO LINUX,ADMINISTRACIÓN DE SISTEMA OPERATIVO LINUX,IPP,IPP,,,,,,,,,,,,,,0421P44,6545,,,,
ADMINISTRACIÓN DE SISTEMA OPERATIVO WINDOWS,ADMINISTRACIÓN DE SISTEMA OPERATIVO WINDOWS,IPP,IPP,,,,,,,,,,,,,,0421P36,6542,,,,
ADMINISTRACIÓN DE SISTEMAS OPERATIVOS,ADMINISTRACIÓN DE SISTEMAS OPERATIVOS,IPP,IPP,,,,,,,,,"TCEQ001 - 2do Año - 2B,TCEQ001 - 2do Año - 2B","Específica,Específica",,,,TCEQ001,6503,,"2B,2B","2do Año,2do Año",
ADMINISTRACIÓN DE SYSOPS,ADMINISTRACIÓN DE SYSOPS,IPP,IPP,Administración de Sistemas en la Nube (SysOps Administration),,,,,,,,,,,,,0431P33,6967,,,,
ADMINISTRACIÓN DEL SECTOR PÚBLICO,ADMINISTRACIÓN DEL SECTOR PÚBLICO,IPP,IPP,Administración del Sector Público,"Al finalizar la asignatura, el estudiante explicará los distintos elementos del Estado y de las normativas que lo rigen, para proponer, implementar y evaluar políticas públicas sobre la base de los principios que orientan la acción de los servicios e instituciones que son parte de la Administración del Estado.
","Dignidad humana y derechos humanos. La convivencia social, el bien común y el derecho. El modo democrático de gobierno. Principios y derechos constitucionales.  Población, territorio, nación y poder  Estado de Derecho, poderes del estado y supremacía constitucional. Bases y principios de la Administración del Estado. Estructura y Organización de la Administración del Sector Público.  Constitución Política de la República de Chile. Ley 18.575 Bases Generales de la Administración del Estado. Ley 18.834 Estatuto Administrativo. DL 1263 Orgánico de la Administración Financiera del Estado. Ley 10336 organización y atribuciones de la Contraloría General de la República. Ética pública. Ley 19.886 Contratos Administrativos de Suministro Prestación de Servicios Ley 19.880 Bases de Procedimientos Administrativos. Ley 20285 Acceso a la información Púbica. Ley 20730 Regula el Lobby. Ley 20500 Asociación y Participación Ciudadana en la Gestión Pública. Instructivo Presidencial 002, de 20.04.2011 Participación Ciudadana. Ley 19653 Probidad administrativa aplicable de los órganos de la Administración del Estado.
","'- Pardo Beneyto, G. & Guixé Corominas, J. (2024). Gobernanza ética y desarrollo sostenible. Los libros de la Catarata.

- Kelsen, H. (2023). Principios de derecho internacional público. Ediciones Olejnik.

- Ciudad, J.P. (2020). La Constitución comentada. Editorial USACH.
","- Constitución Política de la República de Chile: link
- Ley 18.575: link
- Ley 18.834: link
- DL 1263: link
- Ley 10336: link
- Ley 20.730: link
- Ley 20.500: link
- Instructivo Presidencial 002: link
- Ley 19.880: link
- Ley 20.285: link
- Ley 19.886: link
- Ley 19.653: link",,https://sociallearningsa.sharepoint.com/:w:/s/acreditacionesl/EaFMQROnl5NEvGIEoaBEmBoBXxBXdL9eyWfiJgZEEgjfIQ?e=Dgg45m,,"NGEQ004 - 1er Año - 2A,NGEQ004 - 1er Año - 2A","Específica,Específica",,,,NGEQ004,6433,,"2A,2A","1er Año,1er Año",
ADMINISTRACIÓN DIGITAL DE EXPERIENCIA AL CLIENTE,,IPP,IPP,,,,,,,,,,,,,,,,,,,
ADMINISTRACIÓN FINANCIERA,,IPP,IPP,,,,,,,,,,,,,,,,,,,
ADMINISTRACIÓN FINANCIERA DEL ESTADO,ADMINISTRACIÓN FINANCIERA DEL ESTADO,IPP,IPP,Administración Financiera del Estado,"Al finalizar la asignatura, el estudiante aplicará y reconocerá en el desarrollo de sus tareas y funciones en la Administración Pública cómo estas se interrelacionan cotidianamente con los distintos componentes del Sistema de Administración Financiera del Estado, fortaleciendo sus conocimientos en las distintas actividades que desempeñe.
","Fundamentos, normativa, y componentes del Sistema de Administración Financiera del Estado (SAFE): Sistema Presupuestario, Contabilidad Gubernamental, Administración de Fondos, Crédito Público, Control Financiero. Sistema Presupuestario: concepto, estructura, fases, principios, actores e instrumentos. Sistema de Contabilidad Gubernamental, Sistema de Administración de Fondos y Crédito Público: conceptos, principios, instrumentos, marco legal. Sistema de Control Financiero: subsistemas, tipos de control, instituciones participantes, contabilidad, auditorías, rendición de cuentas, PMG, evaluación de programas.
","'- Ministerio de Hacienda (1978). Administración Financiera del Estado link
- Constitución Política de Chile: link
- DL N°1.263/1975: link
- Ley N°19.896: link
- DFL N°106/1960: link
- Ley N°10.336: link
- Resolución N°30 CGR/2015: link
- DFL N°1/1994 Tesorerías: link
- Decreto N°854/2004: link
- Ley N°21.053: link","'- Ley N°20.530 (Ministerio de Desarrollo Social)
- Oficio N°60.820/2005 CGR (Contabilidad General)
- Ley N°19.553 (Asignación de modernización)
- Decreto DIPRES N°297/2017 (PMG 2018)
- Sitios web: www.dipres.cl, www.contraloria.cl, www.ministeriodesarrollosocial.gob.cl, www.auditoriainternadegobierno.gob.cl, www.leychile.cl",,,,"NGEQ006 - 2do Año - 2B,NGEQ006 - 2do Año - 2B","Específica,Específica",,,,NGEQ006,6443,,"2B,2B","2do Año,2do Año",
ADMINISTRACIÓN FINANCIERA I,ADMINISTRACIÓN FINANCIERA I,IPP,IPP,Administración Financiera I,"Aplicar gestión financiera y herramientas de cálculo del valor del dinero a través del tiempo que permiten tomar decisiones acertadas en materia financiera.   
Analizar distintas herramientas y técnicas que permiten evaluar la situación económica y financiera de las empresas.
Evaluar distintas alternativas de inversión y aplicar técnicas que permiten crear valor y continuidad en la empresa.            
Aplicar diferentes herramientas que permiten administrar las políticas y procedimientos, que apoyen la gestión de riesgo.     ","Objetivos e importancia de la administración financiera. Funciones del administrador financiero. Mercados financieros. Instrumentos financiero. Inflación y deflación como procesos. Valor futuro y valor presente. Tipos de interés. Factores de riesgo del dinero en el tiempo.  Balance general y estado de resultados. Análisis financiero (horizontal y vertical) Flujo de caja y estado de flujo de efectivo (FEE) Ratios financieros. Fuentes de financiamiento a corto plazo. Fuentes de financiamiento a largo plazo. Mercado de capitales como fuentes de financiamiento. Aspectos que intervienen en los riesgos de financiamiento.  Análisis financiero. Presupuesto estado de resultados anual. Presupuesto de caja. Continuidad de negocio. Instrumentos de renta fija y variable. Bolsa de valores. Derivados financieros. Riesgos de los mercados de capitales. Política de Inversión y financiamiento. Política de crédito y cobranza. Evaluación de políticas y riesgos de crédito. Políticas y procedimientos de cobranzas. Tipos de riesgos. Evaluación de riesgos. Matriz de riesgo. Gestión de riesgo para la toma de decisiones.  
",,,,,"CONTADOR GENERAL,GESTIÓN HOTELERA,TÉCNICO EN CONTROL DE GESTIÓN,CONTADOR AUDITOR,GESTIÓN HOTELERA,CONTADOR AUDITOR (PLAN ESPECIAL),GESTIÓN HOTELERA,CLOUD ADMINISTRATION,AGILE COACHING","NGEQ005 - 2do Año - 2B,NGEQ005 - 2do Año - 2B,NGEQ005 - 2do Año - 2B,NGEQ005 - 2do Año - 2B,NGEQ005 - 1er Año - 1B,NGEQ005 - 2do Año - 1B,NGEQ005 - 2do Año - 1B","Específica,Específica,Específica,Específica,Específica,Específica,Específica",,,,NGEQ005,6259,,"2B,2B,2B,2B,1B,1B,1B","2do Año,2do Año,2do Año,2do Año,1er Año,2do Año,2do Año",
